FILE: C:\Users\Esteban\Local Sites\jaja1\app\public\wp-content\plugins\aipatch-security-scanner\includes\class-aipsc-logger.php
Line	Column	Type	Code	Message
143	82	ERROR	WordPress.DB.PreparedSQL.NotPrepared	Use placeholders and $wpdb->prepare(); found $order_sql
163	64	ERROR	WordPress.DB.PreparedSQL.NotPrepared	Use placeholders and $wpdb->prepare(); found $order_sql
182	62	ERROR	WordPress.DB.PreparedSQL.NotPrepared	Use placeholders and $wpdb->prepare(); found $order_sql
200	42	ERROR	WordPress.DB.PreparedSQL.NotPrepared	Use placeholders and $wpdb->prepare(); found $order_sql
142	17	WARNING	WordPress.DB.PreparedSQLPlaceholders.ReplacementsWrongNumber	Incorrect number of replacements passed to $wpdb->prepare(). Found 5 replacement parameters, expected 3.
162	17	WARNING	WordPress.DB.PreparedSQLPlaceholders.ReplacementsWrongNumber	Incorrect number of replacements passed to $wpdb->prepare(). Found 4 replacement parameters, expected 2.
181	17	WARNING	WordPress.DB.PreparedSQLPlaceholders.ReplacementsWrongNumber	Incorrect number of replacements passed to $wpdb->prepare(). Found 4 replacement parameters, expected 2.
199	17	WARNING	WordPress.DB.PreparedSQLPlaceholders.ReplacementsWrongNumber	Incorrect number of replacements passed to $wpdb->prepare(). Found 3 replacement parameters, expected 1.

FILE: C:\Users\Esteban\Local Sites\jaja1\app\public\wp-content\plugins\aipatch-security-scanner\includes\class-aipsc-logger.php
Line	Column	Type	Code	Message
141	29	WARNING	PluginCheck.Security.DirectDB.UnescapedDBParameter	Unescaped parameter $order_sql used in $wpdb->get_results()\n$order_sql assigned unsafely at line 127.
161	29	WARNING	PluginCheck.Security.DirectDB.UnescapedDBParameter	Unescaped parameter $order_sql used in $wpdb->get_results()\n$order_sql assigned unsafely at line 127.
180	29	WARNING	PluginCheck.Security.DirectDB.UnescapedDBParameter	Unescaped parameter $order_sql used in $wpdb->get_results()\n$order_sql assigned unsafely at line 127.
198	29	WARNING	PluginCheck.Security.DirectDB.UnescapedDBParameter	Unescaped parameter $order_sql used in $wpdb->get_results()\n$order_sql assigned unsafely at line 127.
